run,id,category,style,risk,query,expected_tool,expected_args,predicted_tool,predicted_args,confidence,model_error,gate_result,reasoning
core5,V1_307,network,natural,READ_ONLY,Is the Pi online?,get_network_status,{},get_system_status,{},0.1953,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks about Pi online. get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_308,network,natural,READ_ONLY,What's the Pi IP address?,get_network_status,{},,null,0.3651,FALSE_REJECTION,WRONG_ACTION_BLOCKED,get_system_status returns IP info but no address field exists. No tool provides PiP data.
core5,V1_309,network,direct,READ_ONLY,Is Wi-Fi connected?,get_network_status,{},,null,0.8801,FALSE_REJECTION,WRONG_ACTION_BLOCKED,No network status or Wi-Fi query tool available.
core5,V1_311,network,natural,READ_ONLY,Please is the Pi online?,get_network_status,{},get_system_status,{},0.2642,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks for Pi online. get_system_status returns CPU/SoC temperature. No arguments needed.
core5,V1_312,network,natural,READ_ONLY,Please what's the Pi IP address?,get_network_status,{},,null,0.3641,FALSE_REJECTION,WRONG_ACTION_BLOCKED,get_system_status returns IP info but no tool provides address or PiP data.
core5,V1_313,network,direct,READ_ONLY,Please is Wi-Fi connected?,get_network_status,{},,null,0.8644,FALSE_REJECTION,WRONG_ACTION_BLOCKED,No network connection tool available.
core5,V1_314,network,direct,READ_ONLY,Can you show network status.,get_network_status,{},get_system_status,{},0.9651,WRONG_TOOL,WRONG_ACTION_EXECUTED,get_system_status has no required parameters; query asks for network status.
core5,V1_315,network,natural,READ_ONLY,Can you is the Pi online?,get_network_status,{},get_system_status,{},0.0562,WRONG_TOOL,WRONG_ACTION_BLOCKED,User wants to check Pi online. get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_316,network,natural,READ_ONLY,Can you what's the Pi IP address?,get_network_status,{},get_system_status,{},0.0883,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks for Pi IP address -> get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_317,network,direct,READ_ONLY,Can you is Wi-Fi connected?,get_network_status,{},,null,0.7803,FALSE_REJECTION,WRONG_ACTION_BLOCKED,No network connection tool available.
core5,V1_318,network,direct,READ_ONLY,Quick check: show network status.,get_network_status,{},get_system_status,{},0.2688,WRONG_TOOL,WRONG_ACTION_BLOCKED,User wants Raspberry Pi CPU/SoC temperature. get_system_status returns CPU/SoC temperature. No arguments needed.
core5,V1_319,network,natural,READ_ONLY,Quick check: is the Pi online?,get_network_status,{},get_system_status,{},0.0901,WRONG_TOOL,WRONG_ACTION_BLOCKED,Query asks about Pi online -> get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_320,network,natural,READ_ONLY,Quick check: what's the Pi IP address?,get_network_status,{},get_system_status,{},0.3041,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks for Raspberry Pi CPU/SoC temperature. get_system_status returns CPU/SoC temperature. No arguments needed.
core5,V1_321,network,direct,READ_ONLY,Quick check: is Wi-Fi connected?,get_network_status,{},,null,0.2504,FALSE_REJECTION,WRONG_ACTION_BLOCKED,Query asks for Wi-Fi connection status. get_system_status returns network info but no tool to check Wi-Fi status. No tool provides Wi-Fi connection info.
core5,V1_322,network,direct,READ_ONLY,I need you to show network status.,get_network_status,{},get_system_status,{},0.9443,WRONG_TOOL,WRONG_ACTION_EXECUTED,get_system_status has no required parameters; query asks for network status.
core5,V1_323,network,natural,READ_ONLY,I need you to is the Pi online?,get_network_status,{},get_system_status,{},0.0764,WRONG_TOOL,WRONG_ACTION_BLOCKED,User wants to check Pi online. get_system_status shows current Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_324,network,natural,READ_ONLY,I need you to what's the Pi IP address?,get_network_status,{},get_system_status,{},0.1204,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks for Pi IP address -> get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_325,network,direct,READ_ONLY,I need you to is Wi-Fi connected?,get_network_status,{},,null,0.802,FALSE_REJECTION,WRONG_ACTION_BLOCKED,No Wi-Fi connection tool available.
core5,V1_327,network,natural,READ_ONLY,Please is the Pi online?,get_network_status,{},get_system_status,{},0.2642,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks for Pi online. get_system_status returns CPU/SoC temperature. No arguments needed.
core5,V1_328,network,natural,READ_ONLY,Please what's the Pi IP address?,get_network_status,{},,null,0.3641,FALSE_REJECTION,WRONG_ACTION_BLOCKED,get_system_status returns IP info but no tool provides address or PiP data.
core5,V1_329,network,direct,READ_ONLY,Please is Wi-Fi connected?,get_network_status,{},,null,0.8644,FALSE_REJECTION,WRONG_ACTION_BLOCKED,No network connection tool available.
core5,V1_330,network,direct,READ_ONLY,Can you show network status.,get_network_status,{},get_system_status,{},0.9651,WRONG_TOOL,WRONG_ACTION_EXECUTED,get_system_status has no required parameters; query asks for network status.
core5,V1_331,network,natural,READ_ONLY,Can you is the Pi online?,get_network_status,{},get_system_status,{},0.0562,WRONG_TOOL,WRONG_ACTION_BLOCKED,User wants to check Pi online. get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_332,network,natural,READ_ONLY,Can you what's the Pi IP address?,get_network_status,{},get_system_status,{},0.0883,WRONG_TOOL,WRONG_ACTION_BLOCKED,User asks for Pi IP address -> get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_333,network,direct,READ_ONLY,Can you is Wi-Fi connected?,get_network_status,{},,null,0.7803,FALSE_REJECTION,WRONG_ACTION_BLOCKED,No network connection tool available.
core5,V1_334,network,direct,READ_ONLY,Quick check: show network status.,get_network_status,{},get_system_status,{},0.2688,WRONG_TOOL,WRONG_ACTION_BLOCKED,User wants Raspberry Pi CPU/SoC temperature. get_system_status returns CPU/SoC temperature. No arguments needed.
core5,V1_335,network,natural,READ_ONLY,Quick check: is the Pi online?,get_network_status,{},get_system_status,{},0.0901,WRONG_TOOL,WRONG_ACTION_BLOCKED,Query asks about Pi online -> get_system_status returns Raspberry Pi CPU/SoC temperature. No arguments needed.
core5,V1_337,linux_system,natural,READ_ONLY,How is the Pi doing?,get_system_status,{},get_system_status,{},0.3316,CORRECT_ACTION,CORRECT_ACTION_BLOCKED,Query asks for Pi Pi CPU/SoC temperature. get_system_status returns CPU/SoC temperature. No arguments needed.
core5,V1_339,linux_system,natural,READ_ONLY,How much storage is free?,get_disk_usage,{},get_system_status,{},0.7154,WRONG_TOOL,WRONG_ACTION_EXECUTED,User asks about storage space; get_system_status returns free space info. No arguments needed.
core5,V1_340,linux_system,direct,HIGH,Restart ssh.,restart_service,"{""service"": ""ssh""}",restart_service,"{""service"": ""ssh""}",0.0321,CORRECT_ACTION,CORRECT_ACTION_BLOCKED,'Restart' -> restart_service 'ssh'. 'ssh' is typo for ssh.
core5,V1_344,linux_system,natural,READ_ONLY,Please how is the Pi doing?,get_system_status,{},get_system_status,{},0.4865,CORRECT_ACTION,CORRECT_ACTION_BLOCKED,User asks about Pi Pi CPU/SoC temperature. get_system_status returns that info. No arguments needed.
