id,query,category,expected_tool,expected_args,expected_action,risk,style,eligible_levels,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
V1_001,Set GPIO 0 high.,gpio_set,set_gpio,"{'pin': 0, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": true}",,True,,,1.99404,
V1_002,Set GPIO 0 low.,gpio_set,set_gpio,"{'pin': 0, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": false}",,True,,,1.958368,
V1_003,Set GPIO 1 high.,gpio_set,set_gpio,"{'pin': 1, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": true}",,True,,,2.070354,
V1_004,Set GPIO 1 low.,gpio_set,set_gpio,"{'pin': 1, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": false}",,True,,,2.055914,
V1_005,Set GPIO 2 high.,gpio_set,set_gpio,"{'pin': 2, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": true}",,True,,,2.049787,
V1_006,Set GPIO 2 low.,gpio_set,set_gpio,"{'pin': 2, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": false}",,True,,,2.055687,
V1_007,Set GPIO 3 high.,gpio_set,set_gpio,"{'pin': 3, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 3, ""state"": true}",,True,,,2.052209,
V1_008,Set GPIO 3 low.,gpio_set,set_gpio,"{'pin': 3, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 3, ""state"": false}",,True,,,2.05253,
V1_009,Set GPIO 4 high.,gpio_set,set_gpio,"{'pin': 4, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": true}",,True,,,2.537194,
V1_010,Set GPIO 4 low.,gpio_set,set_gpio,"{'pin': 4, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": false}",,True,,,2.078023,
V1_011,Set GPIO 5 high.,gpio_set,set_gpio,"{'pin': 5, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": true}",,True,,,2.064011,
V1_012,Set GPIO 5 low.,gpio_set,set_gpio,"{'pin': 5, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": false}",,True,,,2.069389,
V1_013,Set GPIO 6 high.,gpio_set,set_gpio,"{'pin': 6, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 6, ""state"": true}",,True,,,2.066914,
V1_014,Set GPIO 6 low.,gpio_set,set_gpio,"{'pin': 6, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 6, ""state"": false}",,True,,,2.071672,
V1_015,Set GPIO 7 high.,gpio_set,set_gpio,"{'pin': 7, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 7, ""state"": true}",,True,,,2.070945,
V1_016,Set GPIO 7 low.,gpio_set,set_gpio,"{'pin': 7, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 7, ""state"": false}",,True,,,2.071143,
V1_017,Set GPIO 8 high.,gpio_set,set_gpio,"{'pin': 8, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 8, ""state"": true}",,True,,,2.072056,
V1_018,Set GPIO 8 low.,gpio_set,set_gpio,"{'pin': 8, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 8, ""state"": false}",,True,,,2.071839,
V1_019,Set GPIO 9 high.,gpio_set,set_gpio,"{'pin': 9, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 9, ""state"": true}",,True,,,2.074839,
