model,format,id,category,query,expected_tool,tool,expected_args,args,tool_exact,args_exact,routing_exact,parse_ok,parse_error,model_latency_s,raw_output
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GS_01,gpio_set,Turn GPIO 17 on.,set_gpio,set_gpio,"{""pin"": 17, ""state"": true}","{""pin"": 17, ""state"": true}",True,True,True,True,,103.294185,"``` {   ""tool"": ""set_gpio"",   ""arguments"": {     ""pin"": 17,     ""state"": true   } } ```"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GS_02,gpio_set,Set GPIO 5 to false.,set_gpio,set_gpio,"{""pin"": 5, ""state"": false}","{""pin"": 5, ""state"": false}",True,True,True,True,,13.550141,"``` {   ""tool"": ""set_gpio"",   ""arguments"": {     ""pin"": 5,     ""state"": false   } } ```"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GS_03,gpio_set,Drive BCM22 high.,set_gpio,set_gpio,"{""pin"": 22, ""state"": true}","{""pin"": 22, ""state"": true}",True,True,True,True,,13.203689,"``` {   ""tool"": ""set_gpio"",   ""arguments"": {     ""pin"": 22,     ""state"": true   } } ```"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GS_04,gpio_set,Turn GPIO 10 off.,set_gpio,,"{""pin"": 10, ""state"": false}",null,False,False,False,False,No complete JSON route,34.592759,"CONTENT: Here is the tool definition for the ""set_gpio"" tool:  ```json {   ""name"": ""set_gpio"",   ""description"": ""Set one BCM GPIO pin HIGH/on or LOW/off."",   ""arguments"": {     ""pin"": {       ""type"": ""integer"",       ""range"": ""0..27""     },     ""state"": {       ""type"": ""boolean""     }   } } ```  To use this tool, you would send REASONING:"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GS_05,gpio_set,Set pin 27 high.,set_gpio,set_gpio,"{""pin"": 27, ""state"": true}","{""pin"": 27, ""state"": true}",True,True,True,True,,7.629185,"{""tool"":""set_gpio"",""arguments"":{""pin"":27,""state"":true}}"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GS_06,gpio_set,Disable GPIO 4.,set_gpio,set_gpio,"{""pin"": 4, ""state"": false}","{""pin"": 4, ""state"": false}",True,True,True,True,,7.458051,"{""tool"":""set_gpio"",""arguments"":{""pin"":4,""state"":false}}"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GR_01,gpio_read,Read GPIO 17.,read_gpio,read_gpio,"{""pin"": 17}","{""pin"": 17}",True,True,True,True,,6.095396,"{""tool"":""read_gpio"",""arguments"":{""pin"":17}}"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GR_02,gpio_read,Check GPIO 5 status.,read_gpio,set_gpio,"{""pin"": 5}","{""pin"": 5, ""state"": false}",False,False,False,True,,7.668082,"{""tool"":""set_gpio"",""arguments"":{""pin"":5,""state"":false}}"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GR_03,gpio_read,What is the state of BCM22?,read_gpio,set_gpio,"{""pin"": 22}","{""pin"": 22, ""state"": false}",False,False,False,True,,8.040297,"{""tool"":""set_gpio"",""arguments"":{""pin"":22,""state"":false}}"
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,P20_GR_04,gpio_read,Read pin 10.,read_gpio,read_gpio,"{""pin"": 10}","{""pin"": 10}",True,True,True,True,,6.095446,"{""tool"":""read_gpio"",""arguments"":{""pin"":10}}"
