id,category,query,expected_tool,tool,expected_args,args,routing_exact,expected_policy,policy_action,task_exact,route_reason
G_R_00,gpio_read_exhaustive,Read GPIO 0,read_gpio,read_gpio,"{""pin"": 0}","{""pin"": 0}",True,REJECT,REJECT,True,explicit GPIO read
G_H_00,gpio_set_exhaustive,Set GPIO 0 high,set_gpio,set_gpio,"{""pin"": 0, ""state"": true}","{""pin"": 0, ""state"": false}",False,REJECT,REJECT,False,explicit GPIO write
G_L_00,gpio_set_exhaustive,Set GPIO 0 low,set_gpio,set_gpio,"{""pin"": 0, ""state"": false}","{""pin"": 0, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
G_R_01,gpio_read_exhaustive,Read GPIO 1,read_gpio,read_gpio,"{""pin"": 1}","{""pin"": 1}",True,REJECT,REJECT,True,explicit GPIO read
G_H_01,gpio_set_exhaustive,Set GPIO 1 high,set_gpio,set_gpio,"{""pin"": 1, ""state"": true}","{""pin"": 1, ""state"": true}",True,REJECT,REJECT,True,explicit GPIO write
G_L_01,gpio_set_exhaustive,Set GPIO 1 low,set_gpio,set_gpio,"{""pin"": 1, ""state"": false}","{""pin"": 1, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
G_R_02,gpio_read_exhaustive,Read GPIO 2,read_gpio,read_gpio,"{""pin"": 2}","{""pin"": 2}",True,REJECT,REJECT,True,explicit GPIO read
G_H_02,gpio_set_exhaustive,Set GPIO 2 high,set_gpio,set_gpio,"{""pin"": 2, ""state"": true}","{""pin"": 2, ""state"": true}",True,REJECT,REJECT,True,explicit GPIO write
G_L_02,gpio_set_exhaustive,Set GPIO 2 low,set_gpio,set_gpio,"{""pin"": 2, ""state"": false}","{""pin"": 2, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
G_R_03,gpio_read_exhaustive,Read GPIO 3,read_gpio,read_gpio,"{""pin"": 3}","{""pin"": 3}",True,REJECT,REJECT,True,explicit GPIO read
G_H_03,gpio_set_exhaustive,Set GPIO 3 high,set_gpio,set_gpio,"{""pin"": 3, ""state"": true}","{""pin"": 3, ""state"": true}",True,REJECT,REJECT,True,explicit GPIO write
G_L_03,gpio_set_exhaustive,Set GPIO 3 low,set_gpio,set_gpio,"{""pin"": 3, ""state"": false}","{""pin"": 3, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
G_R_04,gpio_read_exhaustive,Read GPIO 4,read_gpio,read_gpio,"{""pin"": 4}","{""pin"": 4}",True,REJECT,REJECT,True,explicit GPIO read
G_H_04,gpio_set_exhaustive,Set GPIO 4 high,set_gpio,set_gpio,"{""pin"": 4, ""state"": true}","{""pin"": 4, ""state"": true}",True,REJECT,REJECT,True,explicit GPIO write
G_L_04,gpio_set_exhaustive,Set GPIO 4 low,set_gpio,set_gpio,"{""pin"": 4, ""state"": false}","{""pin"": 4, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
G_R_05,gpio_read_exhaustive,Read GPIO 5,read_gpio,read_gpio,"{""pin"": 5}","{""pin"": 5}",True,REJECT,REJECT,True,explicit GPIO read
G_H_05,gpio_set_exhaustive,Set GPIO 5 high,set_gpio,set_gpio,"{""pin"": 5, ""state"": true}","{""pin"": 5, ""state"": true}",True,REJECT,REJECT,True,explicit GPIO write
G_L_05,gpio_set_exhaustive,Set GPIO 5 low,set_gpio,set_gpio,"{""pin"": 5, ""state"": false}","{""pin"": 5, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
G_R_06,gpio_read_exhaustive,Read GPIO 6,read_gpio,read_gpio,"{""pin"": 6}","{""pin"": 6}",True,REJECT,REJECT,True,explicit GPIO read
G_H_06,gpio_set_exhaustive,Set GPIO 6 high,set_gpio,set_gpio,"{""pin"": 6, ""state"": true}","{""pin"": 6, ""state"": true}",True,REJECT,REJECT,True,explicit GPIO write
G_L_06,gpio_set_exhaustive,Set GPIO 6 low,set_gpio,set_gpio,"{""pin"": 6, ""state"": false}","{""pin"": 6, ""state"": false}",True,REJECT,REJECT,True,explicit GPIO write
