query,category,subtype,expected_tool,expected_args,expected_action,risk,id,split,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
Quick check: Can the Pi see its CSI camera; Raspberry Pi check 53.,camera,status,get_camera_status,{},CALL,READ_ONLY,RPI_V2_1_1501,heldout_test,get_camera_status,{},0.0009,True,False,False,2.040006,'CSI camera' -> get_camera_status; 'Raspberry Pi check 53' -> list_cameras with description 'Raspberry Pi CSI/libcamera'
Bounce the nginx service.,linux,restart_service,restart_service,{'service': 'nginx'},CALL,HIGH,RPI_V2_1_1502,heldout_test,,null,0.7209,False,False,False,1.500887,"restart_service tool requires 'service' parameter, but the user didn't specify which service."
Show CPU frequency; Raspberry Pi check 15.,thermal,frequency,get_cpu_frequency,{},CALL,READ_ONLY,RPI_V2_1_1503,heldout_test,get_cpu_frequency,{},0.0894,True,False,False,1.812005,'CPU frequency' -> get_cpu_frequency; 'Raspberry Pi check 15' -> get_temperature; two calls.
Please check this: Show the USB bus tree.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1504,heldout_test,check_i2c_device,"{""address"": ""USB"", ""bus"": 0}",0.0,False,False,False,1.934355,"User wants USB device status. 'USB' -> description 'USB'. No specific I2C mentioned, so omit."
Please check this: Read CPU temperature.,thermal,temperature,get_temperature,{},CALL,READ_ONLY,RPI_V2_1_1505,heldout_test,get_temperature,{},0.6821,True,True,True,1.387746,
"On this Raspberry Pi, check uart status; Raspberry Pi check 54.",uart,status,get_uart_status,{},CALL,READ_ONLY,RPI_V2_1_1506,heldout_test,get_uart_status,{},0.0002,True,False,False,2.11721,'check uart status' -> get_uart_status; 'check Raspberry Pi check 54' -> get_uart_status; two calls for each.
Can you check whether what mode is hdmi-a-2 using?,hdmi,connector,get_hdmi_status,{'connector': 'HDMI-A-2'},CALL,READ_ONLY,RPI_V2_1_1507,heldout_test,get_hdmi_status,"{""connector"": ""HDMI-A-2""}",0.8451,True,True,True,1.652702,User asks about mode of HDMI-A-2. get_hdmi_status returns that mode. No other tool provides this info.
"On this Raspberry Pi, run i2cdetect on bus 1; Raspberry Pi check 24.",i2c,scan,scan_i2c_bus,{'bus': 1},CALL,READ_ONLY,RPI_V2_1_1508,heldout_test,scan_i2c_bus,"{""bus"": 1}",0.0,True,False,False,3.685155,'i2cdetect on bus 1' -> bus '1'; 'check 24' -> description '24.'.
Is the Pi online; Raspberry Pi check 95.,network,status,get_network_status,{},CALL,READ_ONLY,RPI_V2_1_1509,heldout_test,get_hdmi_status,"{""connector"": ""HDMI-A-1""}",0.0004,False,False,False,2.167972,"'Pi online' -> get_hdmi_status; 'Raspberry Pi check 95' -> get_i2c_device with bus 0, address '95'."
"On this Raspberry Pi, show throttling status.",thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1510,heldout_test,get_throttling_status,{},0.888,True,True,True,1.403842,User wants to check current throttling status. get_throttling_status has no required params.
Can you check whether take a photo with the camera?,negative,unsupported,,,NO_CALL,NONE,RPI_V2_1_1511,heldout_test,get_camera_status,{},0.9189,False,True,False,1.37462,"User asks about camera status. get_camera_status has no required parameters, so call it directly."
What is the state of GPIO 13?,gpio,read,read_gpio,{'pin': 13},CALL,READ_ONLY,RPI_V2_1_1512,heldout_test,read_gpio,"{""pin"": 13}",0.3615,True,False,False,1.938999,read_gpio: pin '13' from query.
Quick check: Dump I2C device 0x76 on bus 1.,i2c,dump,dump_i2c_device,"{'bus': 1, 'address': '0x76'}",CALL,MEDIUM,RPI_V2_1_1513,heldout_test,check_i2c_device,"{""bus"": 1, ""address"": ""0x76""}",0.0753,False,False,False,2.681647,
Quick check: How hot is the Pi.,thermal,temperature,get_temperature,{},CALL,READ_ONLY,RPI_V2_1_1514,heldout_test,,null,0.0013,False,False,False,1.905007,Query asks for hot Pi. Pi. -> get_temperature. No specific Pi. -> get_hdmi_status.
"On this Raspberry Pi, check serial interface status.",uart,status,get_uart_status,{},CALL,READ_ONLY,RPI_V2_1_1515,heldout_test,get_i2c_status,{},0.9398,False,True,False,1.524403,"User asks to check serial interface status. get_i2c_status has no required parameters, so call it directly."
"On this Raspberry Pi, restart bluetooth; Raspberry Pi check 19.",linux,restart_service,restart_service,{'service': 'bluetooth'},CALL,HIGH,RPI_V2_1_1516,heldout_test,,null,0.5044,False,False,False,3.982947,'Raspberry Pi' -> service 'bluetooth'; 'restart bluetooth' -> restart_service; 'Raspberry Pi check 19' -> get_temperature.
Can you check whether mount my usb drive; Raspberry Pi check 42.,negative,unsupported,,,NO_CALL,NONE,RPI_V2_1_1517,heldout_test,check_i2c_device,"{""bus"": 0, ""address"": ""Raspberry Pi""}",0.0001,False,False,True,6.36158,'mount my usb drive' -> check_i2c_device with bus 'Raspberry Pi'; 'check 42' -> check_i2c_device with bus '42'.
Please check this: Restart ssh; Raspberry Pi check 16.,linux,restart_service,restart_service,{'service': 'ssh'},CALL,HIGH,RPI_V2_1_1518,heldout_test,restart_service,"{""service"": ""ssh""}",0.0479,True,False,False,1.899307,'Restart ssh' -> restart_service 'ssh'; 'Raspberry Pi check 16' -> get_spi_status for SPI interface.
Drive BCM18 low.,gpio,set_low,set_gpio,"{'pin': 18, 'state': False}",CALL,MEDIUM,RPI_V2_1_1519,heldout_test,set_gpio,"{""pin"": 18, ""state"": true}",0.0007,False,False,False,5.629541,pin 'BCM18' from query; state true from 'low'; description 'Drive' from query.
Quick check: Is there any undervoltage; Raspberry Pi check 23.,thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1520,heldout_test,check_i2c_device,"{""bus"": 0, ""address"": ""undervoltage""}",0.0002,False,False,False,8.334043,Two check_i2c_device calls: 'undervoltage' and 'Raspberry Pi' from query; '23' -> bus 23.
"On this Raspberry Pi, is i2c enabled; Raspberry Pi check 64.",i2c,status,get_i2c_status,{},CALL,READ_ONLY,RPI_V2_1_1521,heldout_test,,null,0.0,False,False,False,9.749155,'i2c' -> bus 'i2c'; 'Raspberry Pi' -> address 'Raspberry Pi'; '64' -> address '64'.
Show the USB bus tree; Raspberry Pi check 50.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1522,heldout_test,get_usb_topology,"{""description"": ""50."", ""bus"": ""Raspberry Pi""}",0.0001,False,False,False,2.433792,"get_usb_topology: 'USB bus tree' -> description 'USB bus tree', 'Raspberry Pi' -> bus 'Raspberry Pi', '50.' -> description '50.'."
Show I2C status; Raspberry Pi check 25.,i2c,status,get_i2c_status,{},CALL,READ_ONLY,RPI_V2_1_1523,heldout_test,get_i2c_status,"{""bus"": ""I2C""}",0.0548,False,False,False,2.02206,'I2C status' -> get_i2c_device with bus 'I2C'; 'Raspberry Pi check 25' -> get_spi_status with no args.
Quick check: Which USB ports have devices; Raspberry Pi check 58.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1524,heldout_test,list_usb_devices,"{""description"": ""USB ports""}",0.001,False,False,False,1.891246,list_usb_devices for 'USB ports' and 'Raspberry Pi' -> two calls with distinct descriptions.
Can you check whether bounce the bluetooth service?,linux,restart_service,restart_service,{'service': 'bluetooth'},CALL,HIGH,RPI_V2_1_1525,heldout_test,,null,0.0015,False,False,False,1.739394,User asks about bluetooth service status. get_hdmi_status returns bus status. No specific bus/hdMI/A-1/HDMI-A-1/HDMI-A-2 -> 'bluetooth service' is not a valid enum value.
Quick check: List displays; Raspberry Pi check 18.,hdmi,list,list_displays,{},CALL,READ_ONLY,RPI_V2_1_1526,heldout_test,get_i2c_status,{},0.0045,False,False,False,1.843969,Two I2C checks: 'List displays' and 'Raspberry Pi check 18' -> two get_i2c_status calls.
Please check this: Dump I2C address 0xGG.,negative,invalid,,,NO_CALL,POLICY,RPI_V2_1_1527,heldout_test,check_i2c_device,"{""address"": ""0xGG"", ""bus"": 0}",0.0002,False,False,True,2.281367,User wants to check I2C interface. 'check this' -> check_i2c_device. 'Dump I2C address 0xGG' -> address '0xGG'. No bus or description given.
Can you check whether list usb devices; Raspberry Pi check 17.,usb,devices,list_usb_devices,{},CALL,READ_ONLY,RPI_V2_1_1528,heldout_test,list_usb_devices,"{""description"": ""17""}",0.0003,False,False,False,1.780719,User asks for WHERE USB devices on Raspberry Pi. list_usb_devices with description 'Raspberry Pi' and description '17'.
Check throttling; Raspberry Pi check 45.,thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1529,heldout_test,get_throttling_status,{},0.0057,True,False,False,1.630055,Two get_throttling_status calls: first with 'Raspberry Pi' and '45' from query.
