query,category,subtype,expected_tool,expected_args,expected_action,risk,id,split,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
Quick check: Can the Pi see its CSI camera; Raspberry Pi check 53.,camera,status,get_camera_status,{},CALL,READ_ONLY,RPI_V2_1_1501,heldout_test,list_cameras,{},,False,,,1.261538,
Bounce the nginx service.,linux,restart_service,restart_service,{'service': 'nginx'},CALL,HIGH,RPI_V2_1_1502,heldout_test,,null,,False,,,1.858064,
Show CPU frequency; Raspberry Pi check 15.,thermal,frequency,get_cpu_frequency,{},CALL,READ_ONLY,RPI_V2_1_1503,heldout_test,get_temperature,{},,False,,,1.235818,
Please check this: Show the USB bus tree.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1504,heldout_test,get_usb_topology,"{""connector"": ""USB""}",,False,,,1.529895,
Please check this: Read CPU temperature.,thermal,temperature,get_temperature,{},CALL,READ_ONLY,RPI_V2_1_1505,heldout_test,get_temperature,{},,True,,,1.203473,
"On this Raspberry Pi, check uart status; Raspberry Pi check 54.",uart,status,get_uart_status,{},CALL,READ_ONLY,RPI_V2_1_1506,heldout_test,get_uart_status,{},,True,,,1.399677,
Can you check whether what mode is hdmi-a-2 using?,hdmi,connector,get_hdmi_status,{'connector': 'HDMI-A-2'},CALL,READ_ONLY,RPI_V2_1_1507,heldout_test,get_system_status,"{""connector"": ""HDMI-A-2""}",,False,,,1.340916,
"On this Raspberry Pi, run i2cdetect on bus 1; Raspberry Pi check 24.",i2c,scan,scan_i2c_bus,{'bus': 1},CALL,READ_ONLY,RPI_V2_1_1508,heldout_test,,null,,False,,,1.962542,
Is the Pi online; Raspberry Pi check 95.,network,status,get_network_status,{},CALL,READ_ONLY,RPI_V2_1_1509,heldout_test,get_i2c_status,{},,False,,,1.331635,
"On this Raspberry Pi, show throttling status.",thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1510,heldout_test,get_throttling_status,{},,True,,,1.186463,
Can you check whether take a photo with the camera?,negative,unsupported,,,NO_CALL,NONE,RPI_V2_1_1511,heldout_test,,null,,True,,,1.020473,
What is the state of GPIO 13?,gpio,read,read_gpio,{'pin': 13},CALL,READ_ONLY,RPI_V2_1_1512,heldout_test,get_spi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.446024,
Quick check: Dump I2C device 0x76 on bus 1.,i2c,dump,dump_i2c_device,"{'bus': 1, 'address': '0x76'}",CALL,MEDIUM,RPI_V2_1_1513,heldout_test,check_i2c_device,"{""bus"": 1, ""address"": ""0x76""}",,False,,,2.735775,
Quick check: How hot is the Pi.,thermal,temperature,get_temperature,{},CALL,READ_ONLY,RPI_V2_1_1514,heldout_test,get_system_status,{},,False,,,1.145958,
"On this Raspberry Pi, check serial interface status.",uart,status,get_uart_status,{},CALL,READ_ONLY,RPI_V2_1_1515,heldout_test,get_i2c_status,{},,False,,,1.171868,
"On this Raspberry Pi, restart bluetooth; Raspberry Pi check 19.",linux,restart_service,restart_service,{'service': 'bluetooth'},CALL,HIGH,RPI_V2_1_1516,heldout_test,,null,,False,,,1.92282,
Can you check whether mount my usb drive; Raspberry Pi check 42.,negative,unsupported,,,NO_CALL,NONE,RPI_V2_1_1517,heldout_test,check_i2c_device,"{""bus"": 0, ""address"": ""Raspberry Pi""}",,False,,,2.461557,
Please check this: Restart ssh; Raspberry Pi check 16.,linux,restart_service,restart_service,{'service': 'ssh'},CALL,HIGH,RPI_V2_1_1518,heldout_test,,null,,False,,,1.869002,
Drive BCM18 low.,gpio,set_low,set_gpio,"{'pin': 18, 'state': False}",CALL,MEDIUM,RPI_V2_1_1519,heldout_test,set_gpio,"{""pin"": 0, ""state"": false}",,False,,,2.024834,
Quick check: Is there any undervoltage; Raspberry Pi check 23.,thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1520,heldout_test,,null,,False,,,1.213614,
"On this Raspberry Pi, is i2c enabled; Raspberry Pi check 64.",i2c,status,get_i2c_status,{},CALL,READ_ONLY,RPI_V2_1_1521,heldout_test,get_i2c_status,{},,True,,,1.331955,
Show the USB bus tree; Raspberry Pi check 50.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1522,heldout_test,get_usb_topology,"{""connector"": ""HDMI-A-1"", ""description"": ""USB bus tree""}",,False,,,1.810632,
Show I2C status; Raspberry Pi check 25.,i2c,status,get_i2c_status,{},CALL,READ_ONLY,RPI_V2_1_1523,heldout_test,get_i2c_status,{},,True,,,1.325673,
Quick check: Which USB ports have devices; Raspberry Pi check 58.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1524,heldout_test,list_usb_devices,{},,False,,,1.373127,
Can you check whether bounce the bluetooth service?,linux,restart_service,restart_service,{'service': 'bluetooth'},CALL,HIGH,RPI_V2_1_1525,heldout_test,,null,,False,,,1.227644,
Quick check: List displays; Raspberry Pi check 18.,hdmi,list,list_displays,{},CALL,READ_ONLY,RPI_V2_1_1526,heldout_test,,null,,False,,,1.103822,
Please check this: Dump I2C address 0xGG.,negative,invalid,,,NO_CALL,POLICY,RPI_V2_1_1527,heldout_test,check_i2c_device,"{""bus"": 0, ""address"": ""0xGG""}",,False,,,2.353227,
Can you check whether list usb devices; Raspberry Pi check 17.,usb,devices,list_usb_devices,{},CALL,READ_ONLY,RPI_V2_1_1528,heldout_test,list_spi_devices,{},,False,,,1.131287,
Check throttling; Raspberry Pi check 45.,thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1529,heldout_test,get_throttling_status,{},,True,,,1.168009,
Is the Pi online?,network,status,get_network_status,{},CALL,READ_ONLY,RPI_V2_1_1530,heldout_test,get_i2c_status,{},,False,,,1.101585,
"On this Raspberry Pi, does device 0x40 respond on i2c bus 1.",i2c,check,check_i2c_device,"{'bus': 1, 'address': '0x40'}",CALL,READ_ONLY,RPI_V2_1_1531,heldout_test,check_i2c_device,"{""bus"": 1, ""address"": ""Raspberry Pi""}",,False,,,2.983244,
Can you check whether show usb topology?,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1532,heldout_test,get_usb_topology,{},,True,,,1.035403,
Quick check: Show network status.,network,status,get_network_status,{},CALL,READ_ONLY,RPI_V2_1_1533,heldout_test,get_network_status,{},,True,,,1.12766,
List SPI devices; Raspberry Pi check 15.,spi,list,list_spi_devices,{},CALL,READ_ONLY,RPI_V2_1_1534,heldout_test,list_spi_devices,{},,True,,,1.103162,
Please check this: Run i2cdump for 0x77 on bus 1.,i2c,dump,dump_i2c_device,"{'bus': 1, 'address': '0x77'}",CALL,MEDIUM,RPI_V2_1_1535,heldout_test,scan_i2c_bus,"{""bus"": 1}",,False,,,1.790883,
Please check this: List cameras; Raspberry Pi check 31.,camera,list,list_cameras,{},CALL,READ_ONLY,RPI_V2_1_1536,heldout_test,list_cameras,{},,True,,,1.23161,
"On this Raspberry Pi, can the pi see its csi camera; Raspberry Pi check 39.",camera,status,get_camera_status,{},CALL,READ_ONLY,RPI_V2_1_1537,heldout_test,list_cameras,{},,False,,,1.38831,
Check I2C address 0x48 on bus 1.,i2c,check,check_i2c_device,"{'bus': 1, 'address': '0x48'}",CALL,READ_ONLY,RPI_V2_1_1538,heldout_test,check_i2c_device,"{""bus"": 1, ""address"": ""0x48""}",,True,,,3.081971,
Please check this: How full is the SD card.,linux,disk,get_disk_usage,{},CALL,READ_ONLY,RPI_V2_1_1539,heldout_test,get_disk_usage,{},,True,,,1.096577,
Quick check: Run i2cdetect on bus 1; Raspberry Pi check 38.,i2c,scan,scan_i2c_bus,{'bus': 1},CALL,READ_ONLY,RPI_V2_1_1540,heldout_test,scan_i2c_bus,"{""bus"": 1}",,True,,,1.756184,
Quick check: Run i2cdetect on bus 0; Raspberry Pi check 38.,i2c,scan,scan_i2c_bus,{'bus': 0},CALL,READ_ONLY,RPI_V2_1_1541,heldout_test,scan_i2c_bus,"{""bus"": 0}",,True,,,1.78415,
Quick check: Run i2cdetect on bus 0.,i2c,scan,scan_i2c_bus,{'bus': 0},CALL,READ_ONLY,RPI_V2_1_1542,heldout_test,scan_i2c_bus,"{""bus"": 0}",,True,,,1.674548,
Quick check: Show the USB bus tree; Raspberry Pi check 23.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1543,heldout_test,get_usb_topology,"{""description"": ""Show the USB bus tree""}",,False,,,1.720385,
Please check this: Run i2cdetect on bus 1; Raspberry Pi check 21.,i2c,scan,scan_i2c_bus,{'bus': 1},CALL,READ_ONLY,RPI_V2_1_1544,heldout_test,scan_i2c_bus,"{""bus"": 1}",,True,,,1.796992,
Please check this: What is the ARM clock speed.,thermal,frequency,get_cpu_frequency,{},CALL,READ_ONLY,RPI_V2_1_1545,heldout_test,,null,,False,,,1.137973,
Check throttling; Raspberry Pi check 30.,thermal,throttling,get_throttling_status,{},CALL,READ_ONLY,RPI_V2_1_1546,heldout_test,get_throttling_status,{},,True,,,1.211832,
Turn GPIO 8 on.,gpio,set_high,set_gpio,"{'pin': 8, 'state': True}",CALL,MEDIUM,RPI_V2_1_1547,heldout_test,get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.446036,
Can you check whether read processor frequency; Raspberry Pi check 42.,thermal,frequency,get_cpu_frequency,{},CALL,READ_ONLY,RPI_V2_1_1548,heldout_test,,null,,False,,,1.138864,
Please check this: Show connected HDMI displays; Raspberry Pi check 41.,hdmi,list,list_displays,{},CALL,READ_ONLY,RPI_V2_1_1549,heldout_test,list_displays,{},,True,,,1.447314,
Quick check: Show USB topology; Raspberry Pi check 33.,usb,topology,get_usb_topology,{},CALL,READ_ONLY,RPI_V2_1_1550,heldout_test,get_usb_topology,"{""description"": ""Showing USB online, Raspberry Pi check 33.""}",,False,,,1.738497,
Quick check: Show system status; Raspberry Pi check 18.,linux,system_status,get_system_status,{},CALL,READ_ONLY,RPI_V2_1_1551,heldout_test,get_system_status,{},,True,,,1.203133,
What is the state of GPIO 11?,gpio,read,read_gpio,{'pin': 11},CALL,READ_ONLY,RPI_V2_1_1552,heldout_test,read_gpio,"{""pin"": 11}",,True,,,1.926508,
Please check this: Restart the bluetooth service.,linux,restart_service,restart_service,{'service': 'bluetooth'},CALL,HIGH,RPI_V2_1_1553,heldout_test,restart_service,"{""service"": ""bluetooth""}",,True,,,1.463224,
Quick check: Is Wi-Fi connected.,network,status,get_network_status,{},CALL,READ_ONLY,RPI_V2_1_1554,heldout_test,get_system_status,{},,False,,,1.293791,
Check BCM13 state.,gpio,read,read_gpio,{'pin': 13},CALL,READ_ONLY,RPI_V2_1_1555,heldout_test,set_gpio,"{""pin"": 1, ""state"": true}",,False,,,2.187891,
Drive BCM5 high.,gpio,set_high,set_gpio,"{'pin': 5, 'state': True}",CALL,MEDIUM,RPI_V2_1_1556,heldout_test,set_gpio,"{""pin"": 0, ""state"": true}",,False,,,2.585168,
"On this Raspberry Pi, what is the cpu temperature; Raspberry Pi check 19.",thermal,temperature,get_temperature,{},CALL,READ_ONLY,RPI_V2_1_1557,heldout_test,get_temperature,{},,True,,,1.449652,
Can you check whether is ethernet connected; Raspberry Pi check 112.,network,status,get_network_status,{},CALL,READ_ONLY,RPI_V2_1_1558,heldout_test,get_i2c_status,{},,False,,,1.284812,
Can you check whether show attached usb hardware?,usb,devices,list_usb_devices,{},CALL,READ_ONLY,RPI_V2_1_1559,heldout_test,list_usb_devices,{},,True,,,1.167054,
"On this Raspberry Pi, list spi devices; Raspberry Pi check 19.",spi,list,list_spi_devices,{},CALL,READ_ONLY,RPI_V2_1_1560,heldout_test,list_spi_devices,{},,True,,,1.222512,
Install nginx; Raspberry Pi check 45.,negative,unsupported,,,NO_CALL,NONE,RPI_V2_1_1561,heldout_test,,null,,True,,,2.869912,
